0,Orçamento_Aprovado_2024,Porcentagem,Limite_de_Remanejamento,Uitilizado_do_Limite,Saldo
Momento_Atual,21465664733,"0,15",3219849709.95,"2798288707,37","421561002,58"
Previsão,21465664733,"0,15",3219849709.95,"2798288707,37","421561002,58"
