ANO,MES,PODER,UO,UG,FONTE_MAE,NATUREZA3,VALOR_EMPENHADO
2024,3,EXE,16537,520537,700,333000000,592.5
2024,3,EXE,11504,410504,501,333000000,120.75
2024,3,EXE,16514,510514,500,333000000,5350.87
2024,3,EXE,19033,540033,500,333000000,125.0
2024,3,EXE,27556,510556,500,333000000,1207.5
2024,3,EXE,91997,910997,500,333000000,0.0
2024,3,EXE,27524,510556,600,333000000,0.0
2024,1,EXE,16514,510514,500,331000000,5147.52
2024,2,EXE,11011,110011,500,333000000,0.0
2024,2,MPE,3004,30004,500,333000000,1805.94
2024,2,EXE,27524,510524,500,333000000,4909.8
2024,1,LEG,1001,10001,500,333000000,39150.0
2024,1,EXE,91997,910997,500,332000000,7000000.0
2024,1,LEG,1001,10001,500,333000000,39150.0
2024,1,EXE,11564,110564,500,333000000,15000.0
2024,1,EXE,27524,510524,600,333000000,172584.0
2024,1,EXE,11564,110564,500,333000000,15000.0
2024,2,EXE,13569,130569,802,333000000,350.0
2024,1,EXE,11006,110006,500,333000000,7000.0
2024,2,EXE,19033,540033,500,333000000,8178.02
2024,1,EXE,16026,520026,500,333000000,12299.75
2024,1,EXE,18520,510520,500,331000000,72583.22
2024,1,EXE,26031,530031,500,331000000,6268.1
2024,1,EXE,20516,510516,500,331000000,3213208.49
2024,1,EXE,29031,520031,500,331000000,3504.12
2024,1,EXE,27556,510556,500,331000000,21742.57
2024,2,EXE,19033,540033,500,333000000,345.0
2024,3,EXE,23542,530542,501,333000000,362.25
2024,3,EXE,23542,530542,501,333000000,784.9
2024,1,EXE,30041,300041,500,333000000,548544.36
2024,2,EXE,11006,110006,500,333000000,78055.41
2024,1,EXE,13571,130571,801,331000000,900.68
2024,1,EXE,34051,340051,500,331000000,6028.23
2024,1,EXE,23032,530032,500,331000000,128.02
2024,1,EXE,11006,110006,500,331000000,128.02
2024,1,EXE,27527,520527,500,331000000,6178.86
2024,1,EXE,36021,360021,500,333000000,76.78
2024,1,EXE,27524,510524,600,333000000,1713.6
2024,1,EXE,19512,410512,501,333000000,414.0
2024,1,EXE,11504,410504,501,333000000,1449.0
